season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
2425,Aston Villa,Ross Barkley,ENG,MF,30-346,1993,3.1,6,2,3,3,0,5,7,71.4,2,4,2,2,3,9,3,0
2425,Aston Villa,Youri Tielemans,BEL,MF,27-192,1997,10.8,26,18,12,13,1,14,22,63.6,8,9,4,5,12,38,12,0
2425,Bournemouth,Adam Smith,ENG,DF,33-200,1991,6.7,9,6,5,2,2,4,8,50.0,4,4,1,3,7,16,25,0
2425,Bournemouth,Alex Scott,ENG,MF,21-086,2003,2.9,16,7,8,4,4,12,16,75.0,4,9,1,8,6,22,5,0
2425,Bournemouth,Antoine Semenyo,GHA,FW,24-313,2000,10.7,17,11,5,8,4,5,15,33.3,10,16,3,13,3,20,8,0
2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-278,2002,4.6,12,12,2,5,5,7,12,58.3,5,7,1,6,3,15,13,0
2425,Bournemouth,Daniel Jebbison,ENG,FW,21-094,2003,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
2425,Bournemouth,David Brooks,WAL,"MF,FW",27-130,1997,0.5,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,1,0
2425,Bournemouth,Dean Huijsen,ESP,DF,19-215,2005,2.4,2,1,2,0,0,0,0,,0,3,2,1,3,5,10,0
2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-189,1997,1.7,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,3,0
2425,Bournemouth,Evanilson,BRA,FW,25-040,1999,7.9,4,2,0,1,3,2,3,66.7,1,6,1,5,0,4,9,0
2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-075,2002,11.0,13,7,6,7,0,5,10,50.0,5,14,5,9,12,25,53,0
2425,Bournemouth,Julian Araujo,MEX,DF,23-094,2001,3.9,7,3,3,4,0,4,10,40.0,6,3,0,3,4,11,13,0
2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-194,1999,6.9,8,5,3,3,2,2,5,40.0,3,8,0,8,5,13,11,0
2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-043,1994,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,2
