season,team,player,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
2425,Bournemouth,Alex Scott,ENG,MF,21-086,2003,2.9,132,128,3,2,0,1,0,0,0,0,0,0,116,1,4
2425,Bournemouth,Antoine Semenyo,GHA,FW,24-313,2000,10.7,315,297,13,1,3,4,17,12,0,0,0,0,223,5,13
2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-278,2002,4.6,141,127,14,0,1,2,24,14,0,0,0,0,75,0,9
2425,Bournemouth,Daniel Jebbison,ENG,FW,21-094,2003,0.3,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0
2425,Bournemouth,David Brooks,WAL,"MF,FW",27-130,1997,0.5,19,19,0,0,0,0,4,0,0,0,0,0,13,0,1
2425,Bournemouth,Dean Huijsen,ESP,DF,19-215,2005,2.4,153,151,2,1,0,1,0,1,0,0,0,0,128,0,1
2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-189,1997,1.7,37,37,0,0,1,1,1,0,0,0,0,0,22,0,1
2425,Bournemouth,Evanilson,BRA,FW,25-040,1999,7.9,98,97,1,0,1,2,0,0,0,0,0,0,64,0,6
2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-075,2002,11.0,532,518,14,11,0,1,0,0,0,0,0,0,446,0,2
2425,Bournemouth,Julian Araujo,MEX,DF,23-094,2001,3.9,166,141,25,1,0,0,4,24,0,0,0,0,131,0,2
2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-194,1999,6.9,178,164,11,0,2,2,17,2,1,0,0,0,127,3,6
2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-043,1994,6.0,192,141,50,13,0,0,0,0,0,0,0,0,148,1,0
2425,Bournemouth,Lewis Cook,ENG,MF,27-286,1997,10.9,513,445,67,28,3,1,53,1,37,31,2,0,386,1,11
2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-151,1999,2.3,70,69,0,0,0,1,5,0,0,0,0,0,54,1,3
2425,Bournemouth,Marcos Senesi,ARG,DF,27-189,1997,8.6,484,459,20,16,0,1,6,4,0,0,0,0,369,5,1
2425,Bournemouth,Marcus Tavernier,ENG,"MF,FW",25-238,1999,8.9,339,277,59,14,3,0,55,9,24,21,1,0,239,3,12
2425,Bournemouth,Mark Travers,IRL,GK,25-181,1999,3.0,72,44,28,5,0,0,0,0,0,0,0,0,51,0,0
2425,Bournemouth,Milos Kerkez,HUN,DF,21-008,2003,10.3,443,373,69,5,0,0,28,64,0,0,0,0,347,1,9
2425,Bournemouth,Neto,BRA,GK,35-119,1989,2.0,62,42,19,4,0,0,0,0,0,0,0,0,40,1,0
