season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2425,Aston Villa,Ross Barkley,ENG,MF,30-346,1993,3.1,3,0,0,5,0,0,0,3,2,0,0,0,18,2,1,66.7
2425,Aston Villa,Youri Tielemans,BEL,MF,27-192,1997,10.8,3,0,0,19,20,0,53,12,18,0,0,0,42,5,7,41.7
2425,Bournemouth,Adam Smith,ENG,DF,33-200,1991,6.7,3,0,0,4,5,0,11,7,6,0,0,0,18,7,7,50.0
2425,Bournemouth,Alex Scott,ENG,MF,21-086,2003,2.9,0,0,0,2,13,0,0,6,7,0,0,0,24,1,5,16.7
2425,Bournemouth,Antoine Semenyo,GHA,FW,24-313,2000,10.7,4,0,0,18,16,6,17,3,11,0,0,0,56,16,26,38.1
2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-278,2002,4.6,0,0,0,4,4,2,24,3,12,0,0,0,20,8,10,44.4
2425,Bournemouth,Daniel Jebbison,ENG,FW,21-094,2003,0.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0.0
2425,Bournemouth,David Brooks,WAL,"MF,FW",27-130,1997,0.5,0,0,0,1,1,0,4,0,1,0,0,0,2,0,2,0.0
2425,Bournemouth,Dean Huijsen,ESP,DF,19-215,2005,2.4,1,0,0,3,0,1,0,3,1,0,0,0,12,13,6,68.4
2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-189,1997,1.7,1,0,0,3,2,1,1,0,0,0,0,0,6,10,8,55.6
2425,Bournemouth,Evanilson,BRA,FW,25-040,1999,7.9,0,0,0,12,14,8,0,0,2,2,0,0,16,13,22,37.1
2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-075,2002,11.0,1,0,0,4,1,0,0,12,7,0,0,0,55,24,17,58.5
2425,Bournemouth,Julian Araujo,MEX,DF,23-094,2001,3.9,1,0,0,4,1,0,4,4,3,0,0,0,24,2,6,25.0
2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-194,1999,6.9,4,0,0,18,5,2,17,5,5,0,0,0,19,4,8,33.3
2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-043,1994,6.0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,100.0
2425,Bournemouth,Lewis Cook,ENG,MF,27-286,1997,10.9,3,0,0,24,2,1,53,19,18,0,0,0,59,9,11,45.0
2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-151,1999,2.3,0,0,0,3,2,1,5,0,1,0,0,0,14,1,6,14.3
2425,Bournemouth,Marcos Senesi,ARG,DF,27-189,1997,8.6,4,0,0,14,7,0,6,10,18,0,0,0,53,20,17,54.1
2425,Bournemouth,Marcus Tavernier,ENG,"MF,FW",25-238,1999,8.9,2,0,0,10,10,2,55,3,11,0,0,0,35,6,15,28.6
2425,Bournemouth,Mark Travers,IRL,GK,25-181,1999,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2425,Bournemouth,Milos Kerkez,HUN,DF,21-008,2003,10.3,2,0,0,10,10,0,28,12,7,0,0,0,48,6,16,27.3
2425,Bournemouth,Neto,BRA,GK,35-119,1989,2.0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,
2425,Bournemouth,Philip Billing,DEN,MF,28-157,1996,0.3,0,0,0,0,0,0,3,1,0,0,0,0,1,1,1,50.0
2425,Bournemouth,Ryan Christie,SCO,MF,29-267,1995,7.8,5,0,0,18,10,0,9,6,7,0,0,0,64,6,10,37.5
2425,Bournemouth,Tyler Adams,USA,MF,25-275,1999,1.1,1,0,0,1,0,0,0,4,2,0,0,0,6,1,0,100.0
2425,Brentford,Ben Mee,ENG,"DF,FW",35-055,1989,0.1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,
2425,Brentford,Bryan Mbeumo,CMR,FW,25-100,1999,10.9,2,0,0,7,14,6,48,3,8,0,0,0,54,7,23,23.3
2425,Brentford,Christian Nørgaard,DEN,MF,30-250,1994,8.6,2,0,0,13,12,0,1,14,15,0,0,0,48,12,7,63.2
2425,Brentford,Ethan Pinnock,JAM,DF,31-170,1993,11.0,1,0,0,1,1,0,4,15,13,0,0,1,34,36,25,59.0
2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-077,2002,3.2,1,0,0,2,5,1,6,2,6,0,0,0,16,2,4,33.3
2425,Brentford,Frank Onyeka,NGA,MF,26-319,1998,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,
2425,Brentford,Keane Lewis-Potter,ENG,"FW,DF",23-267,2001,8.5,1,0,0,2,6,2,22,4,7,1,0,0,33,4,12,25.0
2425,Brentford,Kevin Schade,GER,"FW,MF",22-354,2001,5.4,1,0,0,5,8,5,10,0,10,0,0,0,16,19,12,61.3
2425,Brentford,Kristoffer Ajer,NOR,DF,26-212,1998,7.1,3,0,0,6,3,0,5,6,5,0,0,0,16,8,11,42.1
2425,Brentford,Mads Roerslev,DEN,DF,25-144,1999,5.0,1,0,0,2,3,0,13,2,3,0,0,0,13,5,1,83.3
2425,Brentford,Mark Flekken,NED,GK,31-155,1993,11.0,0,0,0,0,1,0,0,0,1,0,0,0,21,3,0,100.0
2425,Brentford,Mathias Jensen,DEN,MF,28-319,1996,3.9,1,0,0,6,9,0,17,3,1,0,0,0,20,2,2,50.0
2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-135,2000,8.8,0,0,0,3,7,0,33,10,17,0,0,0,43,7,9,43.8
2425,Brentford,Nathan Collins,IRL,DF,23-199,2001,11.0,1,0,0,5,8,3,2,12,9,1,0,0,49,40,15,72.7
2425,Brentford,Ryan Trevitt,ENG,MF,21-248,2003,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
2425,Brentford,Sepp van den Berg,NED,DF,22-331,2001,8.1,0,0,0,6,3,0,6,6,8,0,0,0,26,32,17,65.3
2425,Brentford,Vitaly Janelt,GER,MF,26-189,1998,10.0,1,0,0,8,5,0,14,10,9,0,0,0,45,8,5,61.5
2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-259,2004,1.6,1,0,0,1,0,0,4,4,2,0,0,0,17,3,1,75.0
2425,Brentford,Yoane Wissa,COD,FW,28-073,1996,6.3,1,0,0,5,15,1,2,3,1,0,0,0,17,5,3,62.5
2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-310,2006,0.2,0,0,0,2,0,0,0,0,1,0,0,0,1,2,2,50.0
2425,Brighton,Adam Webster,ENG,DF,29-316,1995,0.9,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,50.0
2425,Brighton,Bart Verbruggen,NED,GK,22-089,2002,9.0,2,0,0,0,0,0,0,0,0,0,0,0,20,1,1,50.0
2425,Brighton,Billy Gilmour,SCO,MF,23-157,2001,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,
2425,Brighton,Brajan Gruda,GER,MF,20-168,2004,0.7,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,
2425,Brighton,Carlos Baleba,CMR,MF,20-317,2004,6.9,1,0,0,12,12,0,1,15,11,0,1,0,46,9,6,60.0
2425,Brighton,Danny Welbeck,ENG,FW,33-355,1990,10.3,1,0,0,7,10,1,2,3,5,0,0,0,17,11,10,52.4
2425,Brighton,Evan Ferguson,IRL,FW,20-027,2004,1.2,0,0,0,2,1,0,0,0,1,0,0,0,4,3,5,37.5
2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-039,1999,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0
2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-209,2002,6.7,1,0,0,18,13,3,5,4,3,0,1,0,26,16,7,69.6
2425,Brighton,Igor,BRA,DF,26-282,1998,5.3,3,0,0,4,3,0,0,2,1,0,0,0,23,5,4,55.6
2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-218,2005,9.3,2,0,0,8,2,0,21,4,9,0,0,0,30,5,7,41.7
2425,Brighton,Jakub Moder,POL,MF,25-222,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2425,Brighton,James Milner,ENG,MF,38-316,1986,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0
2425,Brighton,Jan Paul van Hecke,NED,DF,24-160,2000,8.1,2,0,0,3,2,0,3,7,7,0,0,0,37,15,16,48.4
2425,Brighton,Jason Steele,ENG,GK,34-089,1990,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0
2425,Brighton,Jeremy Sarmiento,ECU,MF,22-152,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2425,Brighton,João Pedro,BRA,"MF,FW",23-050,2001,3.4,1,0,0,1,7,0,4,3,3,0,0,0,11,7,5,58.3
2425,Brighton,Joël Veltman,NED,DF,32-305,1992,9.6,1,0,0,12,25,0,11,10,12,0,0,0,37,7,10,41.2
2425,Brighton,Julio Enciso,PAR,"MF,FW",20-297,2004,1.0,0,0,0,1,3,0,13,0,0,0,0,0,6,2,1,66.7
2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-179,1997,10.2,0,0,0,10,8,2,32,6,9,0,0,0,30,7,7,50.0
2425,Brighton,Lewis Dunk,ENG,DF,32-360,1991,7.8,2,0,0,1,4,1,2,7,1,0,0,0,41,16,12,57.1
2425,Brighton,Mats Wieffer,NED,MF,24-365,1999,2.6,0,0,0,5,2,0,1,2,5,0,0,0,19,6,5,54.5
2425,Brighton,Matt O'Riley,DEN,MF,23-360,2000,0.4,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,
2425,Brighton,Pervis Estupiñán,ECU,DF,26-299,1998,5.8,2,0,0,11,3,1,37,11,11,0,0,0,37,8,4,66.7
2425,Brighton,Simon Adingra,CIV,"FW,MF",22-319,2002,2.3,0,0,0,3,0,0,10,3,2,0,0,0,12,1,1,50.0
2425,Brighton,Tariq Lamptey,GHA,DF,24-046,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-116,2004,4.5,2,0,0,6,4,1,28,3,3,0,0,0,16,6,7,46.2
2425,Brighton,Yasin Ayari,SWE,MF,21-040,2003,5.5,2,0,0,7,12,2,21,6,11,0,0,0,38,3,7,30.0
2425,Chelsea,Axel Disasi,FRA,DF,26-249,1998,1.0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0.0
