season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
2425,Aston Villa,Amadou Onana,BEL,MF,23-091,2001,10,10,703,7.8,2,0,2,2,0,0,3,0,1.6,1.6,0.1,1.7,8,23,6,0.26,0.0,0.26,0.26,0.26,0.2,0.02,0.22,0.2,0.22
2425,Aston Villa,Boubacar Kamara,FRA,MF,24-358,1999,3,0,36,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Aston Villa,Diego Carlos,BRA,DF,31-245,1993,6,4,470,5.2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,14,0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09
2425,Aston Villa,Emi Buendía,ARG,"MF,FW",27-326,1996,4,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,4,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.34,0.34,0.34
2425,Aston Villa,Emiliano Martínez,ARG,GK,32-074,1992,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Aston Villa,Ezri Konsa,ENG,DF,27-023,1997,10,10,821,9.1,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,8,32,5,0.11,0.0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05
2425,Aston Villa,Ian Maatsen,NED,DF,22-250,2002,9,0,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0.9,5,9,15,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.51,0.01,0.51
2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23-171,2001,10,7,633,7.0,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2.0,28,28,54,0.0,0.28,0.28,0.0,0.28,0.1,0.18,0.28,0.1,0.28
2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",22-281,2002,7,1,200,2.2,0,0,0,0,0,0,3,1,0.4,0.4,0.0,0.4,2,2,9,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18
2425,Aston Villa,Jhon Durán,COL,FW,20-338,2003,11,0,289,3.2,4,0,4,4,0,0,1,0,2.4,2.4,0.0,2.4,3,6,17,1.25,0.0,1.25,1.25,1.25,0.74,0.01,0.75,0.74,0.75
2425,Aston Villa,John McGinn,SCO,"FW,MF",30-028,1994,9,7,552,6.1,0,0,0,0,0,0,2,0,0.6,0.6,0.4,1.0,12,22,27,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.16,0.1,0.16
2425,Aston Villa,Kosta Nedeljković,SRB,DF,18-335,2005,3,0,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Aston Villa,Lamare Bogarde,NED,DF,20-315,2004,2,2,168,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-098,1997,10,7,503,5.6,0,2,2,0,0,0,2,0,0.4,0.4,1.0,1.4,22,18,42,0.0,0.36,0.36,0.0,0.36,0.08,0.18,0.26,0.08,0.26
2425,Aston Villa,Lucas Digne,FRA,DF,31-118,1993,11,11,841,9.3,0,2,2,0,0,0,3,0,0.5,0.5,2.4,2.9,5,15,48,0.0,0.21,0.21,0.0,0.21,0.06,0.26,0.31,0.06,0.31
2425,Aston Villa,Matty Cash,POL,DF,27-100,1997,6,6,425,4.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,8,14,7,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.01,0.04
2425,Aston Villa,Morgan Rogers,ENG,"MF,FW",22-112,2002,11,11,899,10.0,3,2,5,3,0,0,3,0,2.6,2.6,2.5,5.2,30,31,56,0.3,0.2,0.5,0.3,0.5,0.26,0.25,0.52,0.26,0.52
2425,Aston Villa,Ollie Watkins,ENG,FW,28-321,1995,11,11,839,9.3,5,2,7,5,0,0,0,0,5.1,5.1,1.0,6.2,15,5,51,0.54,0.21,0.75,0.54,0.75,0.55,0.11,0.66,0.55,0.66
2425,Aston Villa,Pau Torres,ESP,DF,27-304,1997,11,11,990,11.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,21,40,4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
2425,Aston Villa,Ross Barkley,ENG,MF,30-346,1993,8,1,277,3.1,1,1,2,1,0,0,3,0,0.8,0.8,0.2,1.0,8,16,4,0.32,0.32,0.65,0.32,0.65,0.25,0.08,0.33,0.25,0.33
2425,Aston Villa,Youri Tielemans,BEL,MF,27-192,1997,11,11,973,10.8,0,3,3,0,0,0,3,0,0.5,0.5,2.7,3.2,16,79,11,0.0,0.28,0.28,0.0,0.28,0.05,0.25,0.3,0.05,0.3
2425,Bournemouth,Adam Smith,ENG,DF,33-200,1991,11,6,607,6.7,0,0,0,0,0,0,3,0,0.6,0.6,0.1,0.7,2,11,8,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.11,0.09,0.11
2425,Bournemouth,Alex Scott,ENG,MF,21-086,2003,8,2,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,32,14,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12
2425,Bournemouth,Antoine Semenyo,GHA,FW,24-313,2000,11,11,967,10.7,4,1,5,4,0,0,4,0,3.8,3.8,2.1,5.9,45,24,86,0.37,0.09,0.47,0.37,0.47,0.36,0.2,0.55,0.36,0.55
2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-278,2002,8,4,414,4.6,1,1,2,1,0,0,0,0,1.5,1.5,1.4,2.9,23,6,47,0.22,0.22,0.43,0.22,0.43,0.33,0.3,0.63,0.33,0.63
2425,Bournemouth,Daniel Jebbison,ENG,FW,21-094,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
2425,Bournemouth,David Brooks,WAL,"MF,FW",27-130,1997,4,0,49,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,4,11,0.0,0.0,0.0,0.0,0.0,0.18,0.56,0.74,0.18,0.74
2425,Bournemouth,Dean Huijsen,ESP,DF,19-215,2005,5,2,219,2.4,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,2,11,1,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.2,0.11,0.2
2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-189,1997,8,1,156,1.7,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.9,4,7,8,0.0,0.0,0.0,0.0,0.0,0.42,0.08,0.49,0.42,0.49
2425,Bournemouth,Evanilson,BRA,FW,25-040,1999,10,9,707,7.9,4,0,4,4,0,1,0,0,4.0,3.2,0.7,3.9,7,5,20,0.51,0.0,0.51,0.51,0.51,0.51,0.09,0.6,0.41,0.5
2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-075,2002,11,11,990,11.0,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,4,39,1,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
2425,Bournemouth,Julian Araujo,MEX,DF,23-094,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-194,1999,11,8,625,6.9,2,2,4,1,1,1,4,0,2.0,1.3,1.1,2.4,16,27,47,0.29,0.29,0.58,0.14,0.43,0.29,0.17,0.46,0.18,0.35
2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-043,1994,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Bournemouth,Lewis Cook,ENG,MF,27-286,1997,11,11,983,10.9,1,3,4,1,0,0,3,0,0.5,0.5,2.0,2.4,10,57,17,0.09,0.27,0.37,0.09,0.37,0.04,0.18,0.22,0.04,0.22
2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-151,1999,8,1,208,2.3,1,1,2,1,0,0,0,0,1.1,1.1,1.0,2.1,14,3,29,0.43,0.43,0.87,0.43,0.87,0.48,0.44,0.92,0.48,0.92
2425,Bournemouth,Marcos Senesi,ARG,DF,27-189,1997,9,9,772,8.6,0,0,0,0,0,0,4,0,0.8,0.8,0.3,1.1,10,41,3,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,0.12
2425,Bournemouth,Marcus Tavernier,ENG,"MF,FW",25-238,1999,11,9,803,8.9,1,2,3,1,0,0,2,0,2.6,2.6,1.7,4.2,22,51,49,0.11,0.22,0.34,0.11,0.34,0.29,0.19,0.47,0.29,0.47
2425,Bournemouth,Mark Travers,IRL,GK,25-181,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Bournemouth,Milos Kerkez,HUN,DF,21-008,2003,11,11,927,10.3,0,2,2,0,0,0,2,0,0.2,0.1,1.0,1.1,29,45,45,0.0,0.19,0.19,0.0,0.19,0.02,0.1,0.12,0.01,0.11
2425,Bournemouth,Neto,BRA,GK,35-119,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Bournemouth,Philip Billing,DEN,MF,28-157,1996,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Bournemouth,Ryan Christie,SCO,MF,29-267,1995,11,9,703,7.8,1,0,1,1,0,0,5,0,0.5,0.5,1.1,1.5,8,43,18,0.13,0.0,0.13,0.13,0.13,0.06,0.14,0.2,0.06,0.2
2425,Bournemouth,Tyler Adams,USA,MF,25-275,1999,3,1,101,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,0,3,0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.14,0.02,0.14
2425,Brentford,Ben Mee,ENG,"DF,FW",35-055,1989,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Brentford,Bryan Mbeumo,CMR,FW,25-100,1999,11,11,984,10.9,8,1,9,6,2,2,2,0,3.9,2.3,2.1,4.4,33,38,100,0.73,0.09,0.82,0.55,0.64,0.36,0.19,0.54,0.21,0.4
2425,Brentford,Christian Nørgaard,DEN,MF,30-250,1994,9,9,775,8.6,1,1,2,1,0,0,2,0,1.3,1.3,0.3,1.5,5,35,12,0.12,0.12,0.23,0.12,0.23,0.15,0.03,0.18,0.15,0.18
2425,Brentford,Ethan Pinnock,JAM,DF,31-170,1993,11,11,990,11.0,2,0,2,2,0,0,1,0,0.8,0.8,0.6,1.4,1,26,4,0.18,0.0,0.18,0.18,0.18,0.08,0.05,0.13,0.08,0.13
2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-077,2002,11,2,290,3.2,1,1,2,1,0,0,1,0,1.5,1.5,0.5,2.0,5,7,13,0.31,0.31,0.62,0.31,0.62,0.46,0.16,0.63,0.46,0.63
2425,Brentford,Frank Onyeka,NGA,MF,26-319,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Brentford,Keane Lewis-Potter,ENG,"FW,DF",23-267,2001,11,9,765,8.5,0,1,1,0,0,0,1,0,0.8,0.8,1.0,1.9,24,23,46,0.0,0.12,0.12,0.0,0.12,0.1,0.12,0.22,0.1,0.22
2425,Brentford,Kevin Schade,GER,"FW,MF",22-354,2001,11,5,487,5.4,0,0,0,0,0,0,1,0,1.5,1.5,0.1,1.6,13,7,37,0.0,0.0,0.0,0.0,0.0,0.27,0.02,0.29,0.27,0.29
2425,Brentford,Kristoffer Ajer,NOR,DF,26-212,1998,8,8,636,7.1,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,14,25,12,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07
2425,Brentford,Mads Roerslev,DEN,DF,25-144,1999,9,4,448,5.0,0,1,1,0,0,0,1,0,0.0,0.0,1.6,1.6,7,29,30,0.0,0.2,0.2,0.0,0.2,0.0,0.32,0.32,0.0,0.32
2425,Brentford,Mark Flekken,NED,GK,31-155,1993,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Brentford,Mathias Jensen,DEN,MF,28-319,1996,6,4,348,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.8,0.9,4,28,15,0.0,0.26,0.26,0.0,0.26,0.03,0.2,0.23,0.03,0.23
2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-135,2000,11,9,790,8.8,1,3,4,1,0,0,0,0,0.8,0.8,2.8,3.7,21,55,32,0.11,0.34,0.46,0.11,0.46,0.1,0.32,0.42,0.1,0.42
2425,Brentford,Nathan Collins,IRL,DF,23-199,2001,11,11,990,11.0,1,0,1,1,0,0,1,0,1.8,1.8,0.4,2.2,10,40,6,0.09,0.0,0.09,0.09,0.09,0.16,0.04,0.2,0.16,0.2
2425,Brentford,Ryan Trevitt,ENG,MF,21-248,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2425,Brentford,Sepp van den Berg,NED,DF,22-331,2001,9,8,732,8.1,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,3,19,16,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08
2425,Brentford,Vitaly Janelt,GER,MF,26-189,1998,11,11,902,10.0,1,3,4,1,0,0,1,0,0.4,0.4,1.5,1.9,7,35,18,0.1,0.3,0.4,0.1,0.4,0.04,0.15,0.19,0.04,0.19
2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-259,2004,7,1,144,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,1,6,5,0.0,0.0,0.0,0.0,0.0,0.14,0.02,0.16,0.14,0.16
2425,Brentford,Yoane Wissa,COD,FW,28-073,1996,8,7,565,6.3,7,1,8,7,0,0,1,0,4.5,4.5,0.3,4.8,8,10,33,1.12,0.16,1.27,1.12,1.27,0.71,0.05,0.76,0.71,0.76
2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-310,2006,4,0,20,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,1,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.69,0.69,0.69
