season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
2425,Southampton,Paul Onuachu,NGA,FW,30-171,1994,0.7,0,3,1,33.3,4.29,1.43,0.0,0.0,11.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
2425,Southampton,Ross Stewart,SCO,"FW,MF",28-127,1996,1.5,0,2,0,0.0,1.36,0.0,0.0,,12.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
2425,Southampton,Ryan Fraser,SCO,FW,30-265,1994,1.6,0,1,1,100.0,0.64,0.64,0.0,0.0,31.6,0,0,0,0.0,0.0,0.03,0.0,0.0
2425,Southampton,Ryan Manning,IRL,"DF,FW",28-154,1996,3.7,0,1,0,0.0,0.27,0.0,0.0,,16.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2425,Southampton,Samuel Amo-Ameyaw,ENG,DF,18-120,2006,0.1,0,1,0,0.0,9.0,0.0,0.0,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0
2425,Southampton,Samuel Edozie,ENG,"DF,FW",21-292,2003,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Southampton,Taylor Harwood-Bellis,ENG,DF,22-290,2002,9.6,1,9,3,33.3,0.94,0.31,0.11,0.33,8.1,0,0,0,1.2,1.2,0.13,-0.2,-0.2
2425,Southampton,Tyler Dibling,ENG,"FW,MF",18-248,2006,6.3,1,9,4,44.4,1.42,0.63,0.11,0.25,20.0,0,0,0,1.0,1.0,0.11,0.0,0.0
2425,Southampton,William Smallbone,IRL,MF,24-268,2000,2.7,0,4,0,0.0,1.49,0.0,0.0,,19.3,1,0,0,0.3,0.3,0.08,-0.3,-0.3
2425,Southampton,Yukinari Sugawara,JPN,DF,24-140,2000,7.4,1,6,2,33.3,0.81,0.27,0.17,0.5,19.5,1,0,0,0.3,0.3,0.05,0.7,0.7
2425,Tottenham,Archie Gray,ENG,"MF,DF",18-248,2006,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Tottenham,Ben Davies,WAL,DF,31-205,1993,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Tottenham,Brennan Johnson,WAL,FW,23-176,2001,9.6,4,33,9,27.3,3.43,0.94,0.12,0.44,12.3,0,0,0,5.2,5.2,0.16,-1.2,-1.2
2425,Tottenham,Cristian Romero,ARG,DF,26-202,1998,10.7,1,11,4,36.4,1.03,0.37,0.09,0.25,9.4,0,0,0,1.1,1.1,0.1,-0.1,-0.1
2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",24-204,2000,9.5,2,17,5,29.4,1.78,0.52,0.12,0.4,15.7,0,0,0,1.4,1.4,0.08,0.6,0.6
2425,Tottenham,Destiny Udogie,ITA,DF,21-353,2002,10.2,0,5,1,20.0,0.49,0.1,0.0,0.0,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
2425,Tottenham,Djed Spence,ENG,DF,24-098,2000,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Tottenham,Dominic Solanke,ENG,FW,27-062,1997,8.9,4,24,13,54.2,2.71,1.47,0.17,0.31,12.2,0,0,0,5.5,5.5,0.23,-1.5,-1.5
2425,Tottenham,Guglielmo Vicario,ITA,GK,28-039,1996,11.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Tottenham,James Maddison,ENG,MF,27-358,1996,7.6,3,18,11,61.1,2.36,1.45,0.17,0.27,15.7,2,0,0,2.4,2.4,0.13,0.6,0.6
2425,Tottenham,Lucas Bergvall,SWE,"MF,FW",18-287,2006,0.6,0,2,0,0.0,3.53,0.0,0.0,,24.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2425,Tottenham,Micky van de Ven,NED,DF,23-210,2001,7.9,0,4,1,25.0,0.51,0.13,0.0,0.0,11.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2
2425,Tottenham,Mikey Moore,ENG,FW,17-096,2007,0.9,0,1,0,0.0,1.06,0.0,0.0,,23.4,0,0,0,0.0,0.0,0.04,0.0,0.0
2425,Tottenham,Pape Matar Sarr,SEN,MF,22-062,2002,4.9,0,11,4,36.4,2.22,0.81,0.0,0.0,25.1,0,0,0,0.7,0.7,0.07,-0.7,-0.7
2425,Tottenham,Pedro Porro,ESP,DF,25-063,1999,11.0,1,19,4,21.1,1.73,0.37,0.05,0.25,23.1,1,0,0,0.7,0.7,0.04,0.3,0.3
2425,Tottenham,Radu Drăgușin,ROU,DF,22-286,2002,3.1,0,1,0,0.0,0.32,0.0,0.0,,11.5,0,0,0,0.0,0.0,0.02,0.0,0.0
2425,Tottenham,Richarlison,BRA,FW,27-189,1997,1.0,0,1,0,0.0,1.0,0.0,0.0,,4.8,0,0,0,0.2,0.2,0.19,-0.2,-0.2
2425,Tottenham,Rodrigo Bentancur,URU,MF,27-143,1997,5.9,1,11,2,18.2,1.85,0.34,0.09,0.5,20.5,0,0,0,0.7,0.7,0.06,0.3,0.3
2425,Tottenham,Son Heung-min,KOR,FW,32-130,1992,7.4,3,16,8,50.0,2.17,1.08,0.19,0.38,18.4,0,0,0,1.9,1.9,0.12,1.1,1.1
2425,Tottenham,Timo Werner,GER,"FW,MF",28-254,1996,3.0,0,7,3,42.9,2.34,1.0,0.0,0.0,19.1,0,0,0,0.9,0.9,0.14,-0.9,-0.9
2425,Tottenham,Wilson Odobert,FRA,FW,19-353,2004,1.8,0,6,0,0.0,3.33,0.0,0.0,,16.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
2425,Tottenham,Yves Bissouma,MLI,MF,28-077,1996,4.5,2,2,2,100.0,0.45,0.45,1.0,1.0,18.7,0,0,0,0.3,0.3,0.13,1.7,1.7
2425,West Ham,Aaron Cresswell,ENG,DF,34-336,1989,0.3,0,1,0,0.0,3.1,0.0,0.0,,31.6,1,0,0,0.0,0.0,0.03,0.0,0.0
2425,West Ham,Aaron Wan-Bissaka,ENG,DF,26-355,1997,9.1,0,3,1,33.3,0.33,0.11,0.0,0.0,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2425,West Ham,Alphonse Areola,FRA,GK,31-262,1993,7.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,West Ham,Andy Irving,SCO,MF,24-186,2000,0.3,0,1,1,100.0,2.9,2.9,0.0,0.0,28.3,0,0,0,0.0,0.0,0.04,0.0,0.0
2425,West Ham,Carlos Soler,ESP,"MF,FW",27-318,1997,3.0,0,5,2,40.0,1.68,0.67,0.0,0.0,20.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
2425,West Ham,Crysencio Summerville,NED,"MF,FW",23-016,2001,3.8,1,4,3,75.0,1.04,0.78,0.25,0.33,10.8,0,0,0,0.9,0.9,0.23,0.1,0.1
2425,West Ham,Danny Ings,ENG,"FW,MF",32-115,1992,0.8,1,5,4,80.0,6.0,4.8,0.2,0.25,13.3,0,0,0,1.0,1.0,0.2,0.0,0.0
2425,West Ham,Edson Álvarez,MEX,"MF,DF",27-022,1997,4.5,0,3,0,0.0,0.66,0.0,0.0,,22.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
2425,West Ham,Emerson Palmieri,ITA,DF,30-104,1994,9.5,0,6,2,33.3,0.63,0.21,0.0,0.0,17.4,0,0,0,1.0,1.0,0.16,-1.0,-1.0
