season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
2425,Aston Villa,Pau Torres,ESP,DF,27-304,1997,11.0,8,0.73,7,0,0,1,0,0,2,0.18,1,0,0,1,0,0
2425,Aston Villa,Ross Barkley,ENG,MF,30-346,1993,3.1,8,2.61,8,0,0,0,0,0,2,0.65,2,0,0,0,0,0
2425,Aston Villa,Youri Tielemans,BEL,MF,27-192,1997,10.8,44,4.07,28,13,0,2,0,1,5,0.46,3,2,0,0,0,0
2425,Bournemouth,Adam Smith,ENG,DF,33-200,1991,6.7,8,1.19,5,1,1,0,0,1,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Alex Scott,ENG,MF,21-086,2003,2.9,11,3.75,8,0,0,0,1,2,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Antoine Semenyo,GHA,FW,24-313,2000,10.7,38,3.54,24,0,5,6,3,0,4,0.37,2,0,1,0,1,0
2425,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-278,2002,4.6,11,2.39,11,0,0,0,0,0,1,0.22,1,0,0,0,0,0
2425,Bournemouth,Daniel Jebbison,ENG,FW,21-094,2003,0.3,2,6.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Bournemouth,David Brooks,WAL,"MF,FW",27-130,1997,0.5,3,5.63,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Dean Huijsen,ESP,DF,19-215,2005,2.4,5,2.05,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Enes Ünal,TUR,"FW,MF",27-189,1997,1.7,4,2.32,2,0,0,2,0,0,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Evanilson,BRA,FW,25-040,1999,7.9,22,2.8,12,0,2,3,5,0,2,0.25,0,0,1,0,1,0
2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-075,2002,11.0,10,0.91,8,1,0,0,0,1,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Julian Araujo,MEX,DF,23-094,2001,3.9,2,0.51,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Justin Kluivert,NED,"MF,FW",25-194,1999,6.9,23,3.31,22,0,1,0,0,0,5,0.72,5,0,0,0,0,0
2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-043,1994,6.0,2,0.33,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Lewis Cook,ENG,MF,27-286,1997,10.9,31,2.84,22,8,0,1,0,0,4,0.37,2,1,0,1,0,0
2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-151,1999,2.3,13,5.57,10,0,1,2,0,0,1,0.43,1,0,0,0,0,0
2425,Bournemouth,Marcos Senesi,ARG,DF,27-189,1997,8.6,14,1.63,14,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Marcus Tavernier,ENG,"MF,FW",25-238,1999,8.9,48,5.38,34,6,3,2,3,0,5,0.56,2,2,0,0,1,0
2425,Bournemouth,Mark Travers,IRL,GK,25-181,1999,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Milos Kerkez,HUN,DF,21-008,2003,10.3,27,2.62,23,1,1,0,0,2,4,0.39,3,0,1,0,0,0
2425,Bournemouth,Neto,BRA,GK,35-119,1989,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Philip Billing,DEN,MF,28-157,1996,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Ryan Christie,SCO,MF,29-267,1995,7.8,24,3.08,19,1,0,2,2,0,0,0.0,0,0,0,0,0,0
2425,Bournemouth,Tyler Adams,USA,MF,25-275,1999,1.1,3,2.67,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brentford,Ben Mee,ENG,"DF,FW",35-055,1989,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brentford,Bryan Mbeumo,CMR,FW,25-100,1999,10.9,41,3.75,29,7,3,1,1,0,5,0.46,5,0,0,0,0,0
2425,Brentford,Christian Nørgaard,DEN,MF,30-250,1994,8.6,15,1.74,12,0,0,2,1,0,4,0.46,4,0,0,0,0,0
2425,Brentford,Ethan Pinnock,JAM,DF,31-170,1993,11.0,15,1.36,9,4,0,1,1,0,0,0.0,0,0,0,0,0,0
2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-077,2002,3.2,6,1.86,5,0,0,1,0,0,1,0.31,1,0,0,0,0,0
2425,Brentford,Frank Onyeka,NGA,MF,26-319,1998,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Brentford,Keane Lewis-Potter,ENG,"FW,DF",23-267,2001,8.5,18,2.12,14,0,1,0,3,0,4,0.47,3,0,0,0,1,0
2425,Brentford,Kevin Schade,GER,"FW,MF",22-354,2001,5.4,9,1.66,3,0,2,2,2,0,1,0.18,0,0,0,1,0,0
